source_file,original_state,original_district,standardized_state,standardized_district,mapping_reason,confidence
District_FloodImpact.csv,,Dadra & Nagar Haveli,,Dadra & Nagar Haveli,unchanged source name,HIGH
District_FloodImpact.csv,,Daman,,Daman,unchanged source name,HIGH
District_FloodImpact.csv,,Diu,,Diu,unchanged source name,HIGH
District_FloodImpact.csv,,North  & Middle Andaman,,North & Middle Andaman,format-only: trimmed or collapsed whitespace,HIGH
District_FloodImpact.csv,,South Andaman,,South Andaman,unchanged source name,HIGH
District_FloodImpact.csv,,Nicobars,,Nicobars,unchanged source name,HIGH
District_FloodImpact.csv,,Srikakulam,,Srikakulam,unchanged source name,HIGH
District_FloodImpact.csv,,Vizianagaram,,Vizianagaram,unchanged source name,HIGH
District_FloodImpact.csv,,Visakhapatnam,,Visakhapatnam,unchanged source name,HIGH
District_FloodImpact.csv,,Krishna,,Krishna,unchanged source name,HIGH
District_FloodImpact.csv,,Guntur,,Guntur,unchanged source name,HIGH
District_FloodImpact.csv,,East Godavari,,East Godavari,unchanged source name,HIGH
District_FloodImpact.csv,,Prakasam,,Prakasam,unchanged source name,HIGH
District_FloodImpact.csv,,Kurnool,,Kurnool,unchanged source name,HIGH
District_FloodImpact.csv,,Anantapur,,Anantapur,unchanged source name,HIGH
District_FloodImpact.csv,,Sri Potti Sriramulu Nell*,,Sri Potti Sriramulu Nell*,unchanged source name,HIGH
District_FloodImpact.csv,,West Godavari,,West Godavari,unchanged source name,HIGH
District_FloodImpact.csv,,Y.S.R.,,Y.S.R.,unchanged source name,HIGH
District_FloodImpact.csv,,Chittoor,,Chittoor,unchanged source name,HIGH
District_FloodImpact.csv,,Upper Subansiri,,Upper Subansiri,unchanged source name,HIGH
District_FloodImpact.csv,,Anjaw,,Anjaw,unchanged source name,HIGH
District_FloodImpact.csv,,Changlang,,Changlang,unchanged source name,HIGH
District_FloodImpact.csv,,Tawang,,Tawang,unchanged source name,HIGH
District_FloodImpact.csv,,Papum Pare,,Papum Pare,unchanged source name,HIGH
District_FloodImpact.csv,,Tirap,,Tirap,unchanged source name,HIGH
District_FloodImpact.csv,,East Siang,,East Siang,unchanged source name,HIGH
