district_key,Dist_Name,Population,Parmanent_Water,Corrected_Percent_Flooded_Area
dadra & nagar haveli,Dadra & Nagar Haveli,618459,0.645537217,2.969167705
daman,Daman,190125,1.308995942,1.544538442
diu,Diu,67412,4.979981831,0.819836479
north  & middle andaman,North  & Middle Andaman,101677,0.0,1.3148171
south andaman,South Andaman,257900,0.0,1.443452407
nicobars,Nicobars,27340,0.0,0.090612489
srikakulam,Srikakulam,2726592,0.566374643,3.446704127
vizianagaram,Vizianagaram,2443656,0.320586402,0.790001986
visakhapatnam,Visakhapatnam,4885485,0.439675977,0.735914807
krishna,Krishna,4751934,3.894573341,0.709710375
guntur,Guntur,5374652,0.999528068,9.242779332
east godavari,East Godavari,5569277,2.48908494,3.702696517
prakasam,Prakasam,3731704,0.273749091,0.87865931
kurnool,Kurnool,4618046,0.504632198,0.289107666
anantapur,Anantapur,4537583,0.216018195,0.482623643
sri potti sriramulu nell*,Sri Potti Sriramulu Nell*,3285473,3.608219113,0.688735282
west godavari,West Godavari,4167944,2.064339191,3.539250333
y.s.r.,Y.S.R.,3162142,1.095797136,0.045955578
chittoor,Chittoor,4580686,0.068957975,0.504525197
upper subansiri,Upper Subansiri,119722,0.078758779,1.156238089
anjaw,Anjaw,24066,0.251543379,1.347748917
changlang,Changlang,183018,0.021259348,2.517227647
tawang,Tawang,60141,0.227751689,0.876365429
papum pare,Papum Pare,245559,0.021507801,0.825360946
tirap,Tirap,69112,0.020888139,0.629920802
east siang,East Siang,86959,1.35629866,2.560087006
lohit,Lohit,51927,0.57149925,2.147551477
kurung kumey,Kurung Kumey,77223,0.025194178,0.555974167
lower subansiri,Lower Subansiri,99671,0.006756278,0.829376579
east kameng,East Kameng,87734,0.061410827,1.326925325
west kameng,West Kameng,99039,0.043990415,1.888080105
kra daadi,Kra Daadi,93220,0.008415915,1.837849659
namsai,Namsai,120106,0.299110207,3.783292115
longding,Longding,60400,0.0,0.638916752
upper siang,Upper Siang,34326,0.336009842,2.386481463
lower siang,Lower Siang,19141,0.042159747,2.171988688
upper dibang valley,Upper Dibang Valley,10102,0.372682252,0.711350147
lower dibang valley,Lower Dibang Valley,59491,0.162468901,1.397900013
