lgd_district_code,censuscode,district_name,state_name,district_area_sq_km,centroid_lat,centroid_lon,population_baseline
501.0,532.0,Adilabad,Telangana,16089.61,19.28614,78.81932,802880.0
118.0,146.0,Agra,Uttar Pradesh,4032.89,27.03574,78.07979,5296620.0
261.0,283.0,Aizawl,Mizoram,3740.34,24.04244,92.84579,483635.0
86.0,119.0,Ajmer,Rajasthan,8537.97,26.19433,74.69827,2985855.0
467.0,501.0,Akola,Maharashtra,5421.98,20.73734,77.09309,2032614.0
554.0,598.0,Alappuzha,Kerala,1426.76,9.38958,76.46759,2167462.0
119.0,143.0,Aligarh,Uttar Pradesh,3749.49,27.92917,78.01663,4376425.0
639.0,465.0,Alirajpur,Madhya Pradesh,3349.35,22.22753,74.30451,917115.0
45.0,64.0,Almora,Uttarakhand,3107.91,29.67744,79.51814,618943.0
87.0,104.0,Alwar,Rajasthan,8320.51,27.53686,76.66387,4491235.0
58.0,70.0,Ambala,Haryana,1514.05,30.302,76.9053,1296203.0
121.0,178.0,Ambedkar Nagar,Uttar Pradesh,2334.75,26.39003,82.69539,2918048.0
468.0,503.0,Amravati,Maharashtra,12240.93,21.1538,77.6836,3195039.0
439.0,480.0,Amreli,Gujarat,7931.77,20.94747,71.19493,1650731.0
27.0,49.0,Amritsar,Punjab,2661.93,31.72173,74.8423,2748187.0
440.0,482.0,Anand,Gujarat,2924.22,22.26787,72.5075,2767476.0
628.0,260.0,Anjaw,Arunachal Pradesh,6522.91,28.05872,96.93448,24066.0
390.0,461.0,Anuppur,Madhya Pradesh,3791.39,23.11759,81.64154,902339.0
188.0,209.0,Araria,Bihar,2811.3,26.20046,87.31107,3634320.0
610.0,616.0,Ariyalur,Tamil Nadu,1959.46,11.20497,79.23685,772923.0
611.0,240.0,Arwal,Bihar,666.51,25.15464,84.73899,591972.0
391.0,459.0,Ashoknagar,Madhya Pradesh,4736.61,24.62339,77.83399,1071470.0
122.0,162.0,Auraiya,Uttar Pradesh,2010.34,26.68985,79.49911,1619128.0
189.0,235.0,Aurangabad,Bihar,3283.81,24.77436,84.46815,4525057.0
123.0,191.0,Azamgarh,Uttar Pradesh,4278.72,26.01431,82.99751,5177742.0
46.0,63.0,Bageshwar,Uttarakhand,2285.41,29.97957,79.84934,256564.0
124.0,139.0,Baghpat,Uttar Pradesh,1330.54,29.04232,77.32672,1340897.0
125.0,180.0,Bahraich,Uttar Pradesh,4332.67,27.75095,81.43887,4156731.0
616.0,324.0,Baksa,Assam,2375.15,26.61144,91.26241,1258285.0
392.0,457.0,Balaghat,Madhya Pradesh,9265.74,21.79877,80.42747,1884118.0
345.0,393.0,Balangir,Odisha,6581.92,20.62259,83.22636,2028038.0
346.0,377.0,Baleshwar,Odisha,3886.44,21.49998,87.02121,2513933.0
126.0,193.0,Ballia,Uttar Pradesh,3010.11,25.85805,84.04616,3696633.0
127.0,182.0,Balrampur,Uttar Pradesh,3329.26,27.49015,82.50087,2570002.0
441.0,469.0,Banas Kantha,Gujarat,10681.69,24.25765,71.924,3729629.0
128.0,170.0,Banda,Uttar Pradesh,4544.82,25.31396,80.52551,2069729.0
190.0,225.0,Banka,Bihar,3106.16,24.8153,86.85833,2787874.0
305.0,339.0,Bankura,West Bengal,6965.25,23.083,87.13282,3957405.0
88.0,125.0,Banswara,Rajasthan,4516.64,23.45094,74.43139,2229890.0
129.0,176.0,Bara Banki,Uttar Pradesh,3799.39,26.96374,81.28965,3807867.0
89.0,128.0,Baran,Rajasthan,6834.59,24.96963,76.86549,1450001.0
130.0,150.0,Bareilly,Uttar Pradesh,3790.47,28.50491,79.44323,5352228.0
90.0,115.0,Barmer,Rajasthan,28476.13,25.77952,71.51731,3345308.0
605.0,54.0,Barnala,Punjab,1486.91,30.40429,75.50683,684088.0
280.0,303.0,Barpeta,Assam,2314.9,26.43793,91.02001,1877307.0
393.0,441.0,Barwani,Madhya Pradesh,5450.45,21.70297,74.92168,1771460.0
374.0,414.0,Bastar,Chhattisgarh,10376.95,19.38483,81.75494,948753.0
131.0,185.0,Basti,Uttar Pradesh,2888.07,26.87255,82.64022,2718480.0
28.0,46.0,Bathinda,Punjab,3373.15,30.19024,75.06716,1697487.0
191.0,222.0,Begusarai,Bihar,1940.11,25.54216,86.13322,3830215.0
394.0,447.0,Betul,Madhya Pradesh,10091.55,21.96584,77.78989,1776782.0
348.0,378.0,Bhadrak,Odisha,2486.21,20.9905,86.65237,1613470.0
192.0,224.0,Bhagalpur,Bihar,2547.38,25.28828,87.04829,3509828.0
471.0,506.0,Bhandara,Maharashtra,3869.52,21.1035,79.78734,1132270.0
91.0,105.0,Bharatpur,Rajasthan,5064.12,27.31988,77.22894,2952552.0
442.0,488.0,Bharuch,Gujarat,5293.62,21.78904,72.67583,1704669.0
443.0,481.0,Bhavnagar,Gujarat,8400.74,21.51878,72.1016,2765060.0
92.0,122.0,Bhilwara,Rajasthan,10497.15,25.44419,74.63651,2821404.0
395.0,420.0,Bhind,Madhya Pradesh,4475.77,26.34851,78.77228,1937516.0
59.0,81.0,Bhiwani,Haryana,4630.51,28.70422,76.03086,1296415.0
193.0,231.0,Bhojpur,Bihar,2375.27,25.50231,84.50236,3338604.0
396.0,444.0,Bhopal,Madhya Pradesh,2730.15,23.47674,77.39695,2938719.0
636.0,417.0,Bijapur,Chhattisgarh,8809.53,18.75491,80.80655,275997.0
132.0,134.0,Bijnor,Uttar Pradesh,4323.71,29.30682,78.46417,4311589.0
93.0,101.0,Bikaner,Rajasthan,30269.94,28.03581,73.67066,3124233.0
307.0,334.0,Birbhum,West Bengal,4556.36,24.06552,87.65619,4082552.0
252.0,275.0,Bishnupur,Manipur,481.43,24.50106,93.82343,299943.0
322.0,355.0,Bokaro,Jharkhand,2802.4,23.68981,85.98082,2426002.0
281.0,319.0,Bongaigaon,Assam,1054.29,26.39088,90.6113,803266.0
133.0,149.0,Budaun,Uttar Pradesh,5085.41,28.08058,79.00651,3653296.0
134.0,142.0,Bulandshahr,Uttar Pradesh,3565.39,28.31253,77.95932,4116049.0
94.0,121.0,Bundi,Rajasthan,5593.17,25.48126,75.80399,1323567.0
397.0,467.0,Burhanpur,Madhya Pradesh,3209.79,21.35963,76.24098,917654.0
194.0,232.0,Buxar,Bihar,1711.1,25.48318,84.0966,2014287.0
282.0,316.0,Cachar,Assam,3792.36,24.78481,92.88141,2105643.0
77.0,95.0,Central,Delhi,15.12,28.64129,77.21666,1667718.0
16.0,23.0,Chamba,Himachal Pradesh,6478.02,32.67241,76.39878,586226.0
47.0,57.0,Chamoli,Uttarakhand,7845.38,30.48323,79.52788,426828.0
48.0,65.0,Champawat,Uttarakhand,1652.13,29.2793,80.10142,293584.0
262.0,284.0,Champhai,Mizoram,3358.49,23.52287,93.3229,136805.0
135.0,196.0,Chandauli,Uttar Pradesh,2537.57,25.12074,83.25951,2179069.0
253.0,280.0,Chandel,Manipur,3190.8,24.26523,94.0854,125173.0
44.0,55.0,Chandigarh,Chandigarh,118.43,30.7399,76.77205,897511.0
473.0,509.0,Chandrapur,Maharashtra,11336.34,20.09668,79.32168,2348545.0
229.0,253.0,Changlang,Arunachal Pradesh,5047.84,27.354,96.36376,183018.0
