name,top_left,top_right,bottom_right,bottom_left
malawi-cyclone_00000054_post_disaster.tif,(-15.832122336611954; 35.00606294413626),(-15.832122336611954; 35.00807762360123),(-15.834137016076925; 35.00807762360123),(-15.834137016076925; 35.00606294413626)
malawi-cyclone_00000054_pre_disaster.tif,(-15.832122336611954; 35.00606294413626),(-15.832122336611954; 35.00807762360123),(-15.834137016076925; 35.00807762360123),(-15.834137016076925; 35.00606294413626)
malawi-cyclone_00000055_post_disaster.tif,(-15.833127100102624; 35.00606290078592),(-15.833127100102624; 35.00807314117626),(-15.835137340492965; 35.00807314117626),(-15.835137340492965; 35.00606290078592)
malawi-cyclone_00000055_pre_disaster.tif,(-15.833127100102624; 35.00606290078592),(-15.833127100102624; 35.00807314117626),(-15.835137340492965; 35.00807314117626),(-15.835137340492965; 35.00606290078592)
malawi-cyclone_00000056_post_disaster.tif,(-15.834125738571185; 35.006066064984765),(-15.834125738571185; 35.00808176756953),(-15.836141441155945; 35.00808176756953),(-15.836141441155945; 35.006066064984765)
malawi-cyclone_00000056_pre_disaster.tif,(-15.834125738571185; 35.006066064984765),(-15.834125738571185; 35.00808176756953),(-15.836141441155945; 35.00808176756953),(-15.836141441155945; 35.006066064984765)
malawi-cyclone_00000057_post_disaster.tif,(-15.835127334066659; 35.006065964496315),(-15.835127334066659; 35.00807137706494),(-15.83713274663528; 35.00807137706494),(-15.83713274663528; 35.006065964496315)
malawi-cyclone_00000057_pre_disaster.tif,(-15.835127334066659; 35.006065964496315),(-15.835127334066659; 35.00807137706494),(-15.83713274663528; 35.00807137706494),(-15.83713274663528; 35.006065964496315)
malawi-cyclone_00000058_post_disaster.tif,(-15.836129036825593; 35.006062860414254),(-15.836129036825593; 35.00806896674547),(-15.838135143156807; 35.00806896674547),(-15.838135143156807; 35.006062860414254)
malawi-cyclone_00000058_pre_disaster.tif,(-15.836129036825593; 35.006062860414254),(-15.836129036825593; 35.00806896674547),(-15.838135143156807; 35.00806896674547),(-15.838135143156807; 35.006062860414254)
malawi-cyclone_00000078_post_disaster.tif,(-15.832126233141805; 35.00806504006491),(-15.832126233141805; 35.010078445997465),(-15.834139639074358; 35.010078445997465),(-15.834139639074358; 35.00806504006491)
malawi-cyclone_00000078_pre_disaster.tif,(-15.832126233141805; 35.00806504006491),(-15.832126233141805; 35.010078445997465),(-15.834139639074358; 35.010078445997465),(-15.834139639074358; 35.00806504006491)
malawi-cyclone_00000079_post_disaster.tif,(-15.833125237157855; 35.00806133056331),(-15.833125237157855; 35.01005017025962),(-15.835114076854168; 35.01005017025962),(-15.835114076854168; 35.00806133056331)
malawi-cyclone_00000079_pre_disaster.tif,(-15.833125237157855; 35.00806133056331),(-15.833125237157855; 35.01005017025962),(-15.835114076854168; 35.01005017025962),(-15.835114076854168; 35.00806133056331)
malawi-cyclone_00000080_post_disaster.tif,(-15.834127901798631; 35.008064751283385),(-15.834127901798631; 35.01004858598817),(-15.836111736503419; 35.01004858598817),(-15.836111736503419; 35.008064751283385)
malawi-cyclone_00000080_pre_disaster.tif,(-15.834127901798631; 35.008064751283385),(-15.834127901798631; 35.01004858598817),(-15.836111736503419; 35.01004858598817),(-15.836111736503419; 35.008064751283385)
malawi-cyclone_00000081_post_disaster.tif,(-15.835127361387604; 35.00806149735471),(-15.835127361387604; 35.010067416490834),(-15.837133280523728; 35.010067416490834),(-15.837133280523728; 35.00806149735471)
malawi-cyclone_00000081_pre_disaster.tif,(-15.835127361387604; 35.00806149735471),(-15.835127361387604; 35.010067416490834),(-15.837133280523728; 35.010067416490834),(-15.837133280523728; 35.00806149735471)
malawi-cyclone_00000082_post_disaster.tif,(-15.836126705850488; 35.008065067493845),(-15.836126705850488; 35.01008128215014),(-15.838142920506781; 35.01008128215014),(-15.838142920506781; 35.008065067493845)
malawi-cyclone_00000082_pre_disaster.tif,(-15.836126705850488; 35.008065067493845),(-15.836126705850488; 35.01008128215014),(-15.838142920506781; 35.01008128215014),(-15.838142920506781; 35.008065067493845)
