fold,training_time,mae,rmse,r2
1,0.0014560999989043921,2.4305784702301025,4.056484992651331,0.09852206707000732
2,0.0014774999999644933,2.375272750854492,3.720487941817245,0.025218546390533447
3,0.0014135999990685377,2.776423215866089,4.013548555359158,0.10112404823303223
4,0.0011807999999291496,2.229823589324951,3.566905192542674,0.023873448371887207
5,0.0012302999984967755,2.0576038360595703,2.697649398781754,0.08028340339660645
6,0.0009373000011692056,2.4907803535461426,3.6233972097297777,0.06692665815353394
7,0.0008098000016616425,2.6496658325195312,4.354471929091977,-0.00016570091247558594
8,0.0009159999990515644,1.9212646484375,2.361730347256921,0.023567795753479004
9,0.0007237000008899486,3.1079440116882324,4.887072555699665,-0.03881800174713135
10,0.0007600000008096686,2.614680528640747,3.477113555782953,-0.08296787738800049
