boundary_state,boundary_district,ifi_district_candidates,match_status,reason
Andhra Pradesh,Adilabad,Adilabad,EXACT_MATCH,Exact district-name token match
Uttar Pradesh,Agra,Agra,EXACT_MATCH,Exact district-name token match
Gujarat,Ahmadabad,,BOUNDARY_ONLY,No exact or normalized IFI district token match
Maharashtra,Ahmadnagar,,BOUNDARY_ONLY,No exact or normalized IFI district token match
Mizoram,Aizawl,Aizawl,EXACT_MATCH,Exact district-name token match
Rajasthan,Ajmer,Ajmer,EXACT_MATCH,Exact district-name token match
Maharashtra,Akola,Akola,EXACT_MATCH,Exact district-name token match
Kerala,Alappuzha,Alappuzha,EXACT_MATCH,Exact district-name token match
Uttar Pradesh,Aligarh,Aligarh,EXACT_MATCH,Exact district-name token match
Madhya Pradesh,Alirajpur,Alirajpur,EXACT_MATCH,Exact district-name token match
Uttar Pradesh,Allahabad,,BOUNDARY_ONLY,No exact or normalized IFI district token match
Uttarakhand,Almora,Almora,EXACT_MATCH,Exact district-name token match
Rajasthan,Alwar,Alwar,EXACT_MATCH,Exact district-name token match
Haryana,Ambala,Ambala,EXACT_MATCH,Exact district-name token match
Uttar Pradesh,Ambedkar Nagar,Ambedkar Nagar,EXACT_MATCH,Exact district-name token match
Maharashtra,Amravati,Amravati,EXACT_MATCH,Exact district-name token match
Gujarat,Amreli,Amreli,EXACT_MATCH,Exact district-name token match
Punjab,Amritsar,Amritsar,EXACT_MATCH,Exact district-name token match
Gujarat,Anand,Anand,EXACT_MATCH,Exact district-name token match
Andhra Pradesh,Anantapur,,BOUNDARY_ONLY,No exact or normalized IFI district token match
Jammu & Kashmir,Anantnag,Anantnag,EXACT_MATCH,Exact district-name token match
Arunanchal Pradesh,Anjaw,Anjaw,EXACT_MATCH,Exact district-name token match
Odisha,Anugul,Anugul,EXACT_MATCH,Exact district-name token match
Madhya Pradesh,Anuppur,Anuppur,EXACT_MATCH,Exact district-name token match
Bihar,Araria,Araria,EXACT_MATCH,Exact district-name token match
Tamil Nadu,Ariyalur,Ariyalur,EXACT_MATCH,Exact district-name token match
Bihar,Arwal,Arwal,EXACT_MATCH,Exact district-name token match
Madhya Pradesh,Ashoknagar,Ashoknagar,EXACT_MATCH,Exact district-name token match
Uttar Pradesh,Auraiya,Auraiya,EXACT_MATCH,Exact district-name token match
Bihar,Aurangabad,Aurangabad,EXACT_MATCH,Exact district-name token match
Uttar Pradesh,Azamgarh,Azamgarh,EXACT_MATCH,Exact district-name token match
Jammu & Kashmir,Badgam,,BOUNDARY_ONLY,No exact or normalized IFI district token match
Karnataka,Bagalkot,,BOUNDARY_ONLY,No exact or normalized IFI district token match
