dataset,column,dtype,non_missing_count,minimum,maximum,zero_count,negative_count,percentage_range_violations,coordinate_range_violations,classification,proposed_handling
District_FloodImpact.csv,human_fatality,int64,732,0.0,1726.0,36,0,0,0,zeros_observed; assess whether zero is a valid source value,retain values; no outlier deletion or target construction in Phase 3
District_FloodImpact.csv,human_injured,int64,732,0.0,671.0,224,0,0,0,zeros_observed; assess whether zero is a valid source value,retain values; no outlier deletion or target construction in Phase 3
District_FloodImpact.csv,population,int64,732,7110.0,13403998.0,0,0,0,0,no impossible values detected; extremes retained,retain values; no outlier deletion or target construction in Phase 3
District_FloodImpact.csv,mean_flood_duration,float64,721,1.0,35.0,0,0,0,0,no impossible values detected; extremes retained,retain values; no outlier deletion or target construction in Phase 3
District_FloodedArea.csv,percent_flooded_area,float64,732,0.001739235,32.6562,0,0,0,0,no impossible values detected; extremes retained,retain values; no outlier deletion or target construction in Phase 3
District_FloodedArea.csv,parmanent_water,float64,732,0.0,29.67097127,60,0,0,0,zeros_observed; assess whether zero is a valid source value,retain values; no outlier deletion or target construction in Phase 3
District_FloodedArea.csv,corrected_percent_flooded_area,float64,732,7.34e-05,23.62192797,0,0,0,0,no impossible values detected; extremes retained,retain values; no outlier deletion or target construction in Phase 3
India_Flood_Inventory_v3.csv,unnamed_0,int64,6876,563.0,7438.0,0,0,0,0,no impossible values detected; extremes retained,retain values; no outlier deletion or target construction in Phase 3
India_Flood_Inventory_v3.csv,duration_days,float64,6857,1.0,365.0,0,0,0,0,no impossible values detected; extremes retained,retain values; no outlier deletion or target construction in Phase 3
India_Flood_Inventory_v3.csv,location,float64,0,,,0,0,0,0,no impossible values detected; extremes retained,retain values; no outlier deletion or target construction in Phase 3
India_Flood_Inventory_v3.csv,latitude,float64,0,,,0,0,0,0,no impossible values detected; extremes retained,retain values; no outlier deletion or target construction in Phase 3
India_Flood_Inventory_v3.csv,longitude,float64,0,,,0,0,0,0,no impossible values detected; extremes retained,retain values; no outlier deletion or target construction in Phase 3
India_Flood_Inventory_v3.csv,severity,float64,0,,,0,0,0,0,no impossible values detected; extremes retained,retain values; no outlier deletion or target construction in Phase 3
India_Flood_Inventory_v3.csv,area_affected,float64,0,,,0,0,0,0,no impossible values detected; extremes retained,retain values; no outlier deletion or target construction in Phase 3
India_Flood_Inventory_v3.csv,human_fatality,float64,3770,1.0,5000.0,0,0,0,0,no impossible values detected; extremes retained,retain values; no outlier deletion or target construction in Phase 3
India_Flood_Inventory_v3.csv,human_injured,float64,1058,1.0,2000.0,0,0,0,0,no impossible values detected; extremes retained,retain values; no outlier deletion or target construction in Phase 3
India_Flood_Inventory_v3.csv,event_souce_id,float64,0,,,0,0,0,0,no impossible values detected; extremes retained,retain values; no outlier deletion or target construction in Phase 3
