test_position,source_row,actual,predicted,error,absolute_error,model
0,483,4.742047502,2.0358598232269287,-2.7061876787730714,2.7061876787730714,CNN + LSTM
1,5,0.090612489,2.015700578689575,1.9250880896895752,1.9250880896895752,CNN + LSTM
2,597,3.253620339,3.3526389598846436,0.09901862088464375,0.09901862088464375,CNN + LSTM
3,683,0.136913665,5.505374908447266,5.368461243447266,5.368461243447266,CNN + LSTM
4,442,8.404168094,4.385594367980957,-4.018573726019042,4.018573726019042,CNN + LSTM
5,649,1.480749996,2.221281051635742,0.7405310556357423,0.7405310556357423,CNN + LSTM
6,385,0.575265044,2.028407335281372,1.453142291281372,1.453142291281372,CNN + LSTM
7,332,0.004413453,1.763451099395752,1.759037646395752,1.759037646395752,CNN + LSTM
8,359,0.741002628,1.9475781917572021,1.2065755637572022,1.2065755637572022,CNN + LSTM
9,590,1.329597887,2.111278772354126,0.7816808853541259,0.7816808853541259,CNN + LSTM
10,504,0.351856339,4.6591386795043945,4.307282340504394,4.307282340504394,CNN + LSTM
11,690,0.072105658,1.8147437572479248,1.742638099247925,1.742638099247925,CNN + LSTM
12,375,0.002176496,2.2844293117523193,2.282252815752319,2.282252815752319,CNN + LSTM
13,114,0.000993771,2.0096631050109863,2.0086693340109862,2.0086693340109862,CNN + LSTM
14,170,0.112482708,1.7480080127716064,1.6355253047716065,1.6355253047716065,CNN + LSTM
15,123,0.43075371,2.1492698192596436,1.7185161092596435,1.7185161092596435,CNN + LSTM
16,301,12.40641849,5.735556125640869,-6.670862364359131,6.670862364359131,CNN + LSTM
17,615,3.462697948,2.8045856952667236,-0.6581122527332766,0.6581122527332766,CNN + LSTM
18,602,3.608993578,2.1360082626342773,-1.4729853153657229,1.4729853153657229,CNN + LSTM
19,657,0.749324062,2.0167460441589355,1.2674219821589356,1.2674219821589356,CNN + LSTM
20,508,0.435501401,2.0216972827911377,1.5861958817911377,1.5861958817911377,CNN + LSTM
21,599,2.868823511,4.185727119445801,1.3169036084458008,1.3169036084458008,CNN + LSTM
22,221,0.30280149,1.9589974880218506,1.6561959980218506,1.6561959980218506,CNN + LSTM
23,111,3.746869093,5.016269683837891,1.2694005908378907,1.2694005908378907,CNN + LSTM
24,475,2.98522873,5.736636161804199,2.751407431804199,2.751407431804199,CNN + LSTM
25,484,2.73145838,2.02367901802063,-0.70777936197937,0.70777936197937,CNN + LSTM
26,329,0.472826999,1.980931043624878,1.508104044624878,1.508104044624878,CNN + LSTM
27,279,0.48643499,1.7931392192840576,1.3067042292840576,1.3067042292840576,CNN + LSTM
28,277,0.0731706,2.403622627258301,2.3304520272583007,2.3304520272583007,CNN + LSTM
29,349,0.133752635,1.6955451965332031,1.5617925615332031,1.5617925615332031,CNN + LSTM
30,685,0.86428335,2.2239489555358887,1.3596656055358887,1.3596656055358887,CNN + LSTM
31,187,6.911149485,2.3810393810272217,-4.5301101039727785,4.5301101039727785,CNN + LSTM
32,65,12.6070399,4.966689586639404,-7.640350313360596,7.640350313360596,CNN + LSTM
33,699,2.180366877,2.0482940673828125,-0.13207280961718748,0.13207280961718748,CNN + LSTM
34,611,3.807489683,2.9848310947418213,-0.8226585882581787,0.8226585882581787,CNN + LSTM
35,583,3.679886741,4.377419471740723,0.6975327307407229,0.6975327307407229,CNN + LSTM
36,69,17.33980856,1.9664597511291504,-15.373348808870851,15.373348808870851,CNN + LSTM
37,410,2.67719437,1.9827454090118408,-0.6944489609881592,0.6944489609881592,CNN + LSTM
38,637,2.00812794,2.6842739582061768,0.6761460182061767,0.6761460182061767,CNN + LSTM
39,177,2.845630539,2.174988031387329,-0.670642507612671,0.670642507612671,CNN + LSTM
40,707,5.871797745,3.0664243698120117,-2.8053733751879886,2.8053733751879886,CNN + LSTM
41,117,0.572471381,1.999507188796997,1.4270358077969971,1.4270358077969971,CNN + LSTM
42,586,11.48765717,2.0516045093536377,-9.436052660646363,9.436052660646363,CNN + LSTM
43,372,0.001951031,3.4919722080230713,3.4900211770230714,3.4900211770230714,CNN + LSTM
44,10,9.242779332,5.363554000854492,-3.8792253311455074,3.8792253311455074,CNN + LSTM
45,628,3.716004426,4.757712364196777,1.0417079381967773,1.0417079381967773,CNN + LSTM
46,63,9.231447974,4.252353191375732,-4.9790947826242675,4.9790947826242675,CNN + LSTM
47,500,0.483488206,2.0007004737854004,1.5172122677854003,1.5172122677854003,CNN + LSTM
48,1,1.544538442,2.1703007221221924,0.6257622801221925,0.6257622801221925,CNN + LSTM
49,42,0.870628148,2.016281843185425,1.1456536951854248,1.1456536951854248,CNN + LSTM
50,634,0.064958232,4.898124694824219,4.833166462824218,4.833166462824218,CNN + LSTM
51,529,0.684901436,3.0012967586517334,2.3163953226517333,2.3163953226517333,CNN + LSTM
52,167,0.099755767,4.644302845001221,4.544547078001221,4.544547078001221,CNN + LSTM
53,76,3.129321309,1.9524815082550049,-1.176839800744995,1.176839800744995,CNN + LSTM
54,313,0.157120971,2.4963629245758057,2.3392419535758058,2.3392419535758058,CNN + LSTM
55,296,1.678503228,4.605892658233643,2.9273894302336423,2.9273894302336423,CNN + LSTM
56,502,0.342475289,4.557522773742676,4.2150474847426755,4.2150474847426755,CNN + LSTM
57,490,2.448919322,2.122673749923706,-0.326245572076294,0.326245572076294,CNN + LSTM
58,543,1.134922452,1.7426202297210693,0.6076977777210693,0.6076977777210693,CNN + LSTM
59,641,1.48110915,3.3075640201568604,1.8264548701568604,1.8264548701568604,CNN + LSTM
60,673,7.812547948,5.20472526550293,-2.60782268249707,2.60782268249707,CNN + LSTM
61,617,4.80414767,2.049515962600708,-2.754631707399292,2.754631707399292,CNN + LSTM
62,290,1.416125561,2.120262861251831,0.704137300251831,0.704137300251831,CNN + LSTM
63,212,0.539592883,1.9209282398223877,1.3813353568223876,1.3813353568223876,CNN + LSTM
64,555,0.085026896,3.795227289199829,3.710200393199829,3.710200393199829,CNN + LSTM
65,693,0.316836382,4.324339389801025,4.007503007801025,4.007503007801025,CNN + LSTM
66,672,9.395681278,5.334914207458496,-4.0607670705415035,4.0607670705415035,CNN + LSTM
67,317,0.047005244,2.7882516384124756,2.7412463944124754,2.7412463944124754,CNN + LSTM
68,57,11.80139268,5.334085464477539,-6.46730721552246,6.46730721552246,CNN + LSTM
69,535,0.000277133,3.4309823513031006,3.4307052183031006,3.4307052183031006,CNN + LSTM
70,272,0.283121417,2.1843934059143066,1.9012719889143066,1.9012719889143066,CNN + LSTM
71,15,0.688735282,5.565374374389648,4.876639092389649,4.876639092389649,CNN + LSTM
72,432,2.837540944,2.009805679321289,-0.8277352646787111,0.8277352646787111,CNN + LSTM
73,503,0.298918883,5.678777694702148,5.379858811702149,5.379858811702149,CNN + LSTM
74,621,13.30007152,4.180610656738281,-9.119460863261718,9.119460863261718,CNN + LSTM
75,137,1.948257182,1.9431116580963135,-0.005145523903686611,0.005145523903686611,CNN + LSTM
76,287,1.93767925,1.9459011554718018,0.008221905471801794,0.008221905471801794,CNN + LSTM
77,451,4.447805894,1.7951147556304932,-2.652691138369507,2.652691138369507,CNN + LSTM
78,528,3.706876306,2.16581130027771,-1.5410650057222899,1.5410650057222899,CNN + LSTM
79,300,1.260337983,5.61550760269165,4.35516961969165,4.35516961969165,CNN + LSTM
80,622,4.243344328,4.923549652099609,0.6802053240996093,0.6802053240996093,CNN + LSTM
81,195,3.116290715,2.0454185009002686,-1.0708722140997313,1.0708722140997313,CNN + LSTM
82,34,2.386481463,1.8655256032943726,-0.5209558597056274,0.5209558597056274,CNN + LSTM
83,286,0.6410376,1.916189193725586,1.275151593725586,1.275151593725586,CNN + LSTM
84,314,1.231751267,1.9023537635803223,0.6706024965803223,0.6706024965803223,CNN + LSTM
85,547,0.908345993,1.930922508239746,1.0225765152397461,1.0225765152397461,CNN + LSTM
86,333,0.588601194,2.0396435260772705,1.4510423320772705,1.4510423320772705,CNN + LSTM
87,182,0.024373659,1.6953233480453491,1.670949689045349,1.670949689045349,CNN + LSTM
88,49,6.654597736,1.9026501178741455,-4.751947618125855,4.751947618125855,CNN + LSTM
89,518,0.252656489,2.034684419631958,1.782027930631958,1.782027930631958,CNN + LSTM
90,102,10.27922577,2.0628139972686768,-8.216411772731323,8.216411772731323,CNN + LSTM
91,687,0.244881502,1.9619004726409912,1.7170189706409913,1.7170189706409913,CNN + LSTM
92,651,1.403054602,1.9851016998291016,0.5820470978291015,0.5820470978291015,CNN + LSTM
93,41,0.620779654,1.9472477436065674,1.3264680896065673,1.3264680896065673,CNN + LSTM
94,553,2.597279494,1.9099490642547607,-0.6873304297452392,0.6873304297452392,CNN + LSTM
95,366,0.143033374,2.861788034439087,2.718754660439087,2.718754660439087,CNN + LSTM
96,534,0.988714607,1.8747053146362305,0.8859907076362304,0.8859907076362304,CNN + LSTM
97,275,0.186919271,2.0140302181243896,1.8271109471243896,1.8271109471243896,CNN + LSTM
98,675,1.85061619,5.73647928237915,3.88586309237915,3.88586309237915,CNN + LSTM
99,303,0.991725656,1.919385552406311,0.9276598964063111,0.9276598964063111,CNN + LSTM
100,113,9.14902795,2.264456033706665,-6.884571916293336,6.884571916293336,CNN + LSTM
101,437,1.553001778,1.8117053508758545,0.25870357287585444,0.25870357287585444,CNN + LSTM
102,491,1.6671773,1.9942662715911865,0.32708897159118644,0.32708897159118644,CNN + LSTM
103,526,0.033230403,2.3041529655456543,2.270922562545654,2.270922562545654,CNN + LSTM
104,141,5.312905892,2.9175236225128174,-2.3953822694871825,2.3953822694871825,CNN + LSTM
105,706,2.579095705,2.4152989387512207,-0.16379676624877915,0.16379676624877915,CNN + LSTM
106,548,0.230626522,4.035252571105957,3.804626049105957,3.804626049105957,CNN + LSTM
107,609,4.873739494,4.986660957336426,0.11292146333642616,0.11292146333642616,CNN + LSTM
108,648,0.988526383,1.9719820022583008,0.9834556192583008,0.9834556192583008,CNN + LSTM
0,483,4.742047502,1.9190235137939453,-2.823023988206055,2.823023988206055,CNN + Transformer
1,5,0.090612489,1.8032026290893555,1.7125901400893555,1.7125901400893555,CNN + Transformer
2,597,3.253620339,2.7841665744781494,-0.4694537645218504,0.4694537645218504,CNN + Transformer
3,683,0.136913665,7.724208831787109,7.58729516678711,7.58729516678711,CNN + Transformer
4,442,8.404168094,6.02432918548584,-2.3798389085141594,2.3798389085141594,CNN + Transformer
5,649,1.480749996,2.050405502319336,0.569655506319336,0.569655506319336,CNN + Transformer
6,385,0.575265044,1.9744925498962402,1.3992275058962402,1.3992275058962402,CNN + Transformer
7,332,0.004413453,1.8267688751220703,1.8223554221220704,1.8223554221220704,CNN + Transformer
8,359,0.741002628,1.9092937707901,1.1682911427901002,1.1682911427901002,CNN + Transformer
9,590,1.329597887,1.9655876159667969,0.6359897289667968,0.6359897289667968,CNN + Transformer
10,504,0.351856339,3.8562564849853516,3.5044001459853513,3.5044001459853513,CNN + Transformer
11,690,0.072105658,1.86441171169281,1.7923060536928102,1.7923060536928102,CNN + Transformer
12,375,0.002176496,2.1004233360290527,2.0982468400290526,2.0982468400290526,CNN + Transformer
13,114,0.000993771,1.9070998430252075,1.9061060720252074,1.9061060720252074,CNN + Transformer
14,170,0.112482708,1.879135251045227,1.7666525430452271,1.7666525430452271,CNN + Transformer
15,123,0.43075371,2.0794074535369873,1.6486537435369872,1.6486537435369872,CNN + Transformer
16,301,12.40641849,8.798392295837402,-3.6080261941625977,3.6080261941625977,CNN + Transformer
17,615,3.462697948,2.4188733100891113,-1.0438246379108889,1.0438246379108889,CNN + Transformer
18,602,3.608993578,1.989100694656372,-1.6198928833436281,1.6198928833436281,CNN + Transformer
19,657,0.749324062,1.9150984287261963,1.1657743667261964,1.1657743667261964,CNN + Transformer
20,508,0.435501401,1.9590210914611816,1.5235196904611816,1.5235196904611816,CNN + Transformer
21,599,2.868823511,3.407102584838867,0.5382790738388672,0.5382790738388672,CNN + Transformer
