Model,Actual_Bin,Count,Mean_Absolute_Error,Median_Absolute_Error
CNN + LSTM,"(-0.000723, 0.575]",37,2.563780060251684,1.9250880896895752
CNN + LSTM,"(0.575, 2.731]",35,1.1872053803432723,0.7816808853541259
CNN + LSTM,"(2.731, 17.34]",37,3.482917876181888,2.652691138369507
CNN + Transformer,"(-0.000723, 0.575]",37,2.544180519438135,1.8223554221220704
CNN + Transformer,"(0.575, 2.731]",35,1.3440897860106045,0.8455773204988404
CNN + Transformer,"(2.731, 17.34]",37,3.3350552788580226,2.7979780014335933
Linear Regression,"(-0.000723, 0.575]",37,2.6534659739304463,2.42611778655896
Linear Regression,"(0.575, 2.731]",35,1.2666649139873378,1.129738632241333
Linear Regression,"(2.731, 17.34]",37,3.7131877093422654,2.326890572175781
Random Forest Regressor,"(-0.000723, 0.575]",37,2.274607352282821,1.9977979752747634
Random Forest Regressor,"(0.575, 2.731]",35,1.6804116664279258,0.5577962908862202
Random Forest Regressor,"(2.731, 17.34]",37,3.253459339684378,2.022382020051299
ResNet + BiLSTM,"(-0.000723, 0.575]",37,2.1512638207245747,1.5782200423308106
ResNet + BiLSTM,"(0.575, 2.731]",35,1.0119851019724313,0.7167775468502806
ResNet + BiLSTM,"(2.731, 17.34]",37,3.6565215756381098,2.836223198372986
