Model,Feature,Permutation_MAE_Increase,Permutation_MAE_Increase_STD,Repeats
CNN + LSTM,Population,0.24286857131510567,0.061260241376104356,10
CNN + LSTM,Parmanent_Water,0.14265926608359325,0.07433764844313853,10
CNN + Transformer,Population,0.2633953828459281,0.06670322537559335,10
CNN + Transformer,Parmanent_Water,0.27275231857480836,0.1161243825100525,10
ResNet + BiLSTM,Population,0.24920661679962972,0.04961112533403789,10
ResNet + BiLSTM,Parmanent_Water,0.14369367413679432,0.08142955783876306,10
Linear Regression,Population,0.1493285692173601,0.0379111636772716,10
Linear Regression,Parmanent_Water,0.054871851936877915,0.05995650964541603,10
Random Forest Regressor,Population,0.5257464903111944,0.11532790833793877,10
Random Forest Regressor,Parmanent_Water,0.41920095761417964,0.1502241774234964,10
